Date,Last Price,Open Interest,SMAVG (15)
2/10/2025,71.44,,
2/7/2025,70.67,32877,37904
2/6/2025,70.27,33173,38365
2/5/2025,70.13,32988,38776
2/4/2025,71.1,32998,39203
2/3/2025,70.52,32961,39653
1/31/2025,70.82,40288,40070
1/30/2025,71,40337,40053
1/29/2025,70.81,40350,40071
1/28/2025,71.26,40587,40082
1/27/2025,71.49,40934,40017
1/24/2025,72.61,40901,39952
1/23/2025,72.86,39940,39857
1/22/2025,72.98,39931,39874
1/21/2025,72.91,40103,39842
1/20/2025,73.16,40199,39576
1/17/2025,73,39789,39303
1/16/2025,73.23,39341,39075
1/15/2025,73.93,39385,38882
1/14/2025,73.26,39747,38690
1/13/2025,73.13,39224,38499
1/10/2025,73.5,40023,38361
1/9/2025,72.41,40610,38157
1/8/2025,72.12,40511,37932
1/7/2025,72.67,39615,37714
1/6/2025,72.32,39957,37521
1/3/2025,72.35,39482,37272
1/2/2025,72.04,40187,37020
12/31/2024,71.29,39457,36621
12/30/2024,70.96,36106,36233
12/27/2024,70.63,36108,36045
12/26/2024,70.12,36379,35854
12/24/2024,70.47,36437,35643
12/23/2024,69.86,36500,35433
12/20/2024,69.94,36891,35105
12/19/2024,69.81,37159,46543
12/18/2024,70.49,36955,57962
12/17/2024,70.61,37240,69435
12/16/2024,71.22,37243,80721
12/13/2024,71.67,36719,92133
12/12/2024,71.03,36214,103581
12/11/2024,70.95,35705,115010
12/10/2024,70.25,34202,126541
12/9/2024,70.25,33631,138025
12/6/2024,69.35,33298,149356
12/5/2024,69.83,33238,160627
12/4/2024,70.06,33212,171578
12/3/2024,71.18,33293,182530
12/2/2024,69.86,31571,193569
11/29/2024,69.95,208461,204700
11/28/2024,70.76,208441,203881
11/27/2024,70.3,209055,203219
11/26/2024,70.52,206539,202642
11/25/2024,70.54,208417,202393
11/22/2024,72.28,208442,202420
11/21/2024,71.63,207639,202379
11/20/2024,70.92,208683,190931
11/19/2024,71.39,206453,179389
11/18/2024,71.27,203593,168003
11/15/2024,69.34,202368,156803
11/14/2024,70.55,197503,145682
11/13/2024,70.43,197494,134877
11/12/2024,70.33,198869,124076
11/11/2024,70.48,198550,113209
11/8/2024,71.97,196166,102317
11/7/2024,73.05,198515,91552
11/6/2024,72.5,200398,80629
11/5/2024,72.76,202802,69573
11/4/2024,72.41,208820,58348
