Date,Last Price,Open Interest,SMAVG (15)
2/10/2025,660.25,,
2/7/2025,654,2256,2080
2/6/2025,650.25,2256,2043
2/5/2025,651.25,2319,2006
2/4/2025,657,2224,1958
2/3/2025,656.25,2218,1899
1/31/2025,654.75,2097,1840
1/30/2025,655.25,2105,2784
1/29/2025,655.75,2127,3700
1/28/2025,654.25,2142,4609
1/27/2025,658,2069,5528
1/24/2025,666,2034,6456
1/23/2025,666.75,1968,7387
1/22/2025,669.5,1788,8323
1/21/2025,672.25,1795,9295
1/20/2025,672.25,1795,10247
1/17/2025,676,1715,11201
1/16/2025,674.5,1687,12159
1/15/2025,679.75,1611,13121
1/14/2025,676.5,1334,14091
1/13/2025,675.5,1334,15072
1/10/2025,673.75,16255,16053
1/9/2025,669.75,15850,16044
1/8/2025,662.75,15752,16013
1/7/2025,667.75,15940,15972
1/6/2025,668.25,15980,15910
1/3/2025,665.5,16002,14935
1/2/2025,670.75,16005,13957
12/31/2024,660.75,16366,12979
12/30/2024,657.5,16082,11975
12/27/2024,652.25,16101,10987
12/26/2024,647.25,16080,9992
12/24/2024,648.5,16129,8998
12/23/2024,644.25,16150,8005
12/20/2024,647.25,16049,7007
12/19/2024,649.25,16056,6014
12/18/2024,659.5,16117,5020
12/17/2024,651.75,15388,4022
12/16/2024,658.5,15128,3072
12/13/2024,661.75,15015,2139
12/12/2024,652,1353,1215
12/11/2024,656,1336,1202
12/10/2024,653.25,1331,1177
12/9/2024,654.25,1309,1152
12/6/2024,643.75,1263,1129
12/5/2024,647,1174,1109
12/4/2024,654.75,1177,1094
12/3/2024,659.75,1229,1078
12/2/2024,649.75,1182,1112
11/29/2024,656.75,1151,1149
11/28/2024,652,1148,1181
11/27/2024,655.5,1148,1209
11/26/2024,663,1132,1234
11/25/2024,656.5,1141,1259
11/22/2024,671.5,1151,1284
11/21/2024,667.75,1162,1308
11/20/2024,664.5,958,1330
11/19/2024,664.75,958,1365
11/18/2024,664.75,958,1399
11/15/2024,657.25,973,1433
11/14/2024,658.75,940,1466
11/13/2024,658.25,935,1499
11/12/2024,660.75,1739,1530
11/11/2024,657,1737,1506
11/8/2024,666.75,1634,1473
11/7/2024,676.25,1566,1446
11/6/2024,680.25,1531,1415
11/5/2024,683.75,1509,1385
11/4/2024,675.75,1509,1357
11/1/2024,669,1509,1328
10/31/2024,666.5,1489,1299
10/30/2024,663.25,1482,1410
10/29/2024,647.75,1470,1512
10/28/2024,653.5,1474,1617
10/25/2024,677.75,1467,1758
10/24/2024,669.25,1427,1909
10/23/2024,671,1401,2028
